0.000074	116	100.9.15.210
0.000087	1500	100.2.192.247
0.000137	40	227.154.67.17
0.000147	40	226.6.119.243
0.000157	40	252.138.62.131
0.000167	1500	100.9.15.210
0.000217	116	100.9.15.210
0.000229	40	100.15.198.226
0.000240	1500	241.118.205.138
0.000290	52	226.184.220.233
0.000300	52	241.202.129.222
0.000310	52	249.18.186.254
0.000320	1500	100.9.15.210
0.000370	116	100.9.15.210
0.000382	421	252.43.47.189
0.000404	40	134.136.186.123
0.000414	52	252.25.108.8
0.000424	40	245.206.7.234
0.000435	40	228.19.4.234
0.000445	40	226.243.167.8
0.000455	40	141.129.237.235
0.000465	81	95.179.238.44
0.000477	1500	100.9.15.210
0.000527	116	100.9.15.210
0.000540	40	252.222.221.184
0.000549	552	249.36.123.202
0.000574	40	95.9.215.7
0.000584	40	242.21.121.163
0.000594	40	162.9.99.234
0.000604	576	249.7.21.132
0.000630	552	249.36.123.202
0.000654	576	227.8.63.165
0.000680	40	241.220.250.22
0.000690	40	241.220.250.22
0.000700	40	141.167.8.160
0.000710	40	226.170.70.6
0.000720	1500	228.71.195.169
0.000770	576	226.22.124.76
0.000795	40	228.135.163.231
0.000806	40	252.138.62.131
0.000815	112	100.1.42.141
0.000828	48	235.96.225.78
0.000838	40	141.129.237.235
0.000848	40	235.7.16.162
0.000856	40	228.69.242.193
0.000864	40	252.138.62.131
0.000872	55	151.140.114.167
0.000880	40	235.89.31.26
0.000887	1500	100.10.6.25
0.000921	44	135.242.180.132
0.000929	952	228.59.98.98
0.000953	40	249.199.68.213
0.000961	1500	244.248.163.4
0.000994	1500	248.38.184.213
0.001028	98	243.33.20.123
0.001038	40	252.138.62.131
0.001045	1500	248.38.184.213
0.001079	40	235.89.31.26
0.001087	40	227.237.98.191
0.001094	1408	95.97.9.123
0.001126	48	241.33.119.156
0.001134	1392	95.97.9.123
0.001166	40	252.138.62.131
0.001174	1500	242.108.198.51
0.001207	40	160.132.178.185
0.001215	628	124.60.155.63
0.001234	40	64.3.66.187
0.001241	1500	242.108.198.51
0.001275	1500	244.248.163.4
0.001309	98	243.33.20.123
0.001318	1500	244.248.163.4
0.001352	1500	244.248.163.4
0.001386	483	0.255.183.58
0.001402	40	249.199.68.213
0.001409	1500	244.248.163.4
0.001443	76	241.1.233.131
0.001451	1500	244.248.163.4
0.001485	40	242.96.16.101
0.001492	40	242.96.88.27
0.001500	460	235.84.194.111
0.001515	40	241.255.249.220
0.001523	68	0.219.7.41
0.001531	1500	253.169.52.216
0.001564	40	141.129.237.235
0.001572	48	235.195.157.81
0.001580	40	147.225.12.42
0.001587	40	243.178.4.198
0.001595	40	227.39.94.90
0.001603	1500	248.38.184.213
0.001636	40	235.28.253.36
0.001644	1017	255.186.223.5
0.001669	277	249.7.21.132
0.001682	40	243.178.4.198
0.001690	82	100.88.228.35
0.001699	1500	248.38.184.213
0.001733	52	133.68.164.234
0.001741	40	243.178.4.198
0.001748	40	235.192.139.38
0.001756	40	0.221.154.117
0.001764	40	243.192.77.90
